Employee_No,Employee_Code,Name,Title,Address_Line_3,Date_of_Birth,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Status_Reason,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,,,
427,2680,Laron Turcotte,Ms,Mulgampola,4/4/1980,Female,1,Married,48,9/15/2016,0000-00-00,Active,,0000-00-00,\N,\N,Staff,Contarct Basis,Buddhist,Draughtsman,,,
428,2682,Mr Tristian D'Amore,Mr,Katugastota,12/6/1994,Male,5,Single,48,7/7/2016,0000-00-00,Inactive,,2/17/2020,\N,\N,Staff,Contarct Basis,Muslim,Draughtsman,,,
431,2750,Miss Ashley Spinka IV,Mr,,6/29/1947,Male,1,Married,62,1/1/2019,\N,Active,,\N,\N,\N,Labour,Contarct Basis,Buddhist,S/Skill,,,
433,2765,Prof Damaris Kemmer DDS,Mr,,5/6/1993,Male,1,Married,63,11/1/2016,9/27/2022,Inactive,Resign,9/27/2022,\N,\N,Staff,Contarct Basis,Buddhist,Junior Quantity Surveyor,,,
434,2774,Corene Weber DDS,Mr,,1/15/1972,Male,1,Married,64,11/28/2016,6/30/2021,Inactive,RESIGN,6/30/2021,\N,\N,Staff,Contarct Basis,Buddhist,Safety Officer,,,
435,2807,Madisyn Raynor,Mr,Medawachiya,2/1/1988,Male,1,Single,22,12/15/2016,\N,Active,,\N,1834,\N,Staff,Contarct Basis,Buddhist,Technical Officer,,,
436,2811,Prof Bridgette Gerlach DVM,Mr,Ampara,10/3/1981,Male,3,Married,27,12/15/2016,0000-00-00,Active,,0000-00-00,\N,\N,Staff,Contarct Basis,Hindu,Supervisor,,,
437,2812,Prof Elian Roberts MD,Mr,Kaluthara South,8/11/1991,Male,1,Married,8,12/19/2016,12/22/2021,Inactive,RESIGN,12/22/2021,\N,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,,,
438,2845,Giovanna Turner,Mr,Peradeniya,5/8/1991,Male,1,Single,59,1/16/2017,0000-00-00,Active,,0000-00-00,\N,\N,Staff,Contarct Basis,Buddhist,Autocad Draughtsman ,,,
440,2850,Ricky Hintz,Mr,Pannipitiya,7/12/1981,Male,1,Single,113,1/10/2017,\N,Active,,\N,\N,\N,Staff,Contarct Basis,Buddhist,Operation Executive,,,
443,2911,Jaunita Senger,Miss,,9/22/1989,Female,1,Single,59,1/30/2017,8/20/2021,Inactive,RESIGN,8/20/2021,\N,\N,Staff,Contarct Basis,Buddhist,Autocad Draughtsman ,,,
444,2913,Buddy Kunze,Mr,Wathura,",Kegalle""",2/21/1966,Male,1,Married,6,2/16/2017,\N,Inactive,Resign,10/31/2020,\N,\N,Staff,Contarct Basis,Buddhist,Project Manager,,
445,2930,Orpha Buckridge Jr,Mr,Galewela,10/18/1971,Male,1,Married,24,2/2/2017,4/30/2022,Inactive,Resigned,4/30/2022,\N,\N,Staff,Contarct Basis,Buddhist,Driver,,,
446,2936,Lavon Stokes,Mr,Imaduwa,2/28/1955,Male,1,Married,31,1/1/2019,5/31/2021,Inactive,RESIGN,5/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
448,2938,Prof Bridget Johnson II,Mr,Ahangama,12/8/1966,Male,1,Married,31,1/1/2019,12/10/2020,Inactive,RESIGN,12/10/2020,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
450,188003,Mrs Eliza O'Kon I,Mr,Medirigiriya,5/27/1976,Male,1,Married,31,12/3/2020,4/9/2021,Inactive,RESIGN,4/9/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
451,2954,Ms Evelyn Farrell IV,Mr,,9/7/1985,Male,1,Single,22,3/1/2017,\N,Inactive,Resign,2/29/2020,\N,\N,Management,Contarct Basis,Buddhist,Technical Officer,,,
453,2973,Miss Amaya Bogisich III,Mr,Kurunegala,9/6/1961,Male,1,Married,7,3/23/2017,\N,Active,,\N,\N,\N,Staff,Contarct Basis,Buddhist,Store Keeper,,,
455,2975,Madisyn Huel,Mr,,0000-00-00,Male,3,Single,49,3/27/2017,2/19/2022,Inactive,RESIGN,2/19/2022,1333,\N,Staff,Contarct Basis,Hindu,Junior Technical Officer,,,
456,2984,Aurelie Green,Mr,Bandarawala,0000-00-00,Male,1,Married,30,1/1/2019,0000-00-00,Inactive,Resign,3/31/2020,\N,\N,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,,,
457,4994,Saul Marquardt,Mr,,3/20/1967,Male,1,Married,31,6/1/2020,\N,Inactive,Resign,9/25/2020,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
460,199020,Monica Wunsch,Mr,,3/10/1955,Male,1,Married,30,3/1/2020,0000-00-00,Inactive,Resign,3/31/2020,\N,\N,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,,,
461,3009,Miss Chelsie Heidenreich,Mr,,0000-00-00,Male,1,Married,1,1/1/2019,0000-00-00,Inactive,Resign,6/1/2021,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,,,
466,3037,Geovanny Gaylord,Mr,,1/31/1976,Male,1,Married,31,1/1/2019,5/31/2022,Inactive,RESIGN,5/31/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
468,3041,Johnny Price,Mr,,0000-00-00,Male,3,Married,31,1/1/2019,\N,Active,,\N,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,,,
471,5270,Miss Naomie Swaniawski II,Mr,"Boropola, Mahaoya",8/16/1992,Male,1,Single,1,4/1/2021,2/28/2022,Inactive,RESIGN,2/28/2022,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,,,
473,190016,Bud Simonis,Mr,,5/4/1944,Male,1,Married,1,12/3/2020,1/9/2021,Inactive,RESIGN,1/9/2021,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,,,
475,3178,Mr Roel Monahan V,Mr,,5/4/1959,Male,1,Married,31,1/1/2019,11/28/2020,Inactive,RESIGN,11/28/2020,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
476,3193,Amanda Keebler,Mr,Akkareipaththu - 01,4/27/1985,Male,5,Married,22,4/3/2017,11/27/2021,Inactive,RESIGN,11/27/2021,\N,\N,Staff,Contarct Basis,Muslim,Technical Officer,,,
478,3216,Anne Abbott III,Ms,,6/11/1992,Female,1,Married,70,5/15/2017,0000-00-00,Inactive,Resign,8/30/2020,\N,\N,Staff,Contarct Basis,Buddhist,Data Entry Operator,,,
480,3222,Alfred Turner,Mr,,1/10/1989,Male,3,,69,7/6/2017,0000-00-00,Inactive,Resign,4/3/2020,\N,\N,Staff,Contarct Basis,Hindu,Site Supervisor,,,
481,3223,Lawrence Hane,Ms,"Eswaththa North, Puwakpitiya",1/14/1984,Female,1,Single,59,6/5/2017,\N,Active,,\N,\N,\N,Staff,Contarct Basis,Buddhist,Autocad Draughtsman ,,,
482,3229,Kenyatta Rempel,Mr,,9/21/1986,Male,1,Married,22,6/19/2017,5/23/2021,Inactive,Resign,5/23/2021,2709,\N,Staff,Contarct Basis,Buddhist,Technical Officer,,,
486,5169,Prof Avery Volkman,Mr,,0000-00-00,Male,1,Married,1,2/1/2021,5/4/2022,Inactive,RESIGN,5/4/2022,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,,,
487,3256,Kathleen Denesik,Mr,Dehiattakandiya,5/17/1992,Male,1,Married,124,1/1/2019,0000-00-00,Active,,0000-00-00,\N,\N,Labour,Contarct Basis,Buddhist,Mason,,,
489,3285,Deondre Hill,Mr,,0000-00-00,Male,1,Married,31,1/1/2019,6/13/2022,Inactive,RESIGN,6/13/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
490,3295,Dr Nat Adams,Mr,mullaitivu,10/13/1995,Male,3,Single,31,1/1/2019,0000-00-00,Inactive,Resign,12/31/2020,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,,,
495,3335,Ludwig Stamm,Mr,Nochchiyagama,12/6/1957,Male,1,Married,29,1/1/2019,\N,Active,,\N,\N,\N,Labour,Contarct Basis,Buddhist,Cook,,,
496,3351,Emie Conroy,Mr,,4/17/1988,Male,1,Married,22,7/1/2017,0000-00-00,Active,,0000-00-00,2709,\N,Staff,Contarct Basis,Buddhist,Technical Officer,,,
501,190015,Piper Dooley,Mr,,3/6/1958,Male,1,Married,31,12/7/2020,10/31/2021,Inactive,RESIGN,10/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
504,3440,Miss Greta Langosh,Mr,mullaitivu,9/20/1991,Male,3,Married,31,1/1/2019,3/2/2021,Inactive,RESIGN,3/2/2021,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,,,
505,3451,Gertrude Leannon,Mr,Yahalathenna,2/13/1959,Male,1,Married,37,8/28/2017,6/30/2021,Inactive,RESIGN,6/30/2021,\N,\N,Staff,Contarct Basis,Buddhist,Driver-Tractor,,,
508,3533,Dr Bernice Feil,Mr,,0000-00-00,Male,1,,24,9/9/2017,0000-00-00,Inactive,Resign,5/30/2020,\N,\N,Staff,Contarct Basis,Buddhist,Driver,,,
509,3536,Ewell Koch,Ms,,1/14/1993,Female,3,Married,8,9/15/2017,\N,Inactive,Resign,3/13/2020,\N,\N,Staff,Contarct Basis,Hindu,Quantity Surveyor,,,
510,3537,Cristobal Wilkinson,Mr,Thellipalai,4/30/1991,Male,3,Single,8,9/15/2017,2/10/2022,Inactive,RESIGN,2/10/2022,\N,\N,Staff,Contarct Basis,Hindu,Quantity Surveyor,,,
512,3545,Mason Ryan,Mr,Bingiriya,4/9/1994,Male,1,Single,24,10/2/2017,0000-00-00,Inactive,Resign,6/12/2020,\N,\N,Staff,Contarct Basis,Buddhist,Driver,,,
514,3553,Shea Terry MD,Ms,,7/22/1994,Female,1,Single,65,11/1/2017,1/18/2021,Inactive,RESIGN,1/25/2021,\N,\N,Staff,Contarct Basis,Buddhist,Design Engineer,,,
515,3621,Virginia Stokes,Mr,Katunayake,4/12/1992,Male,1,Single,8,12/22/2017,\N,Inactive,Resign,10/21/2020,\N,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,,,
516,3632,Dante Ledner,Mr,Gonapola Junction,10/16/1990,Male,1,Single,72,1/15/2018,\N,Active,,\N,\N,\N,Staff,Contarct Basis,Buddhist,IT Executive,,,
517,3633,Mrs Betty West Sr,Ms,Pannipitiya,3/5/1993,Female,1,Single,8,1/15/2018,\N,Active,,\N,\N,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,,,
